question_en,answer_en,question_ne,answer_ne
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi",खाद्य वर्गसँग सम्बन्धित कृषि उत्पादनहरूको नाम दिनुहोस् ।,"अनाज (अनाज), तरकारी, फलफूल, खाना पकाउने तेल, मासु, दूध, अण्डा, र फंगस"
what is the approximate Global agricultural production of food.,11 billion tonnes,खाद्यान्नको अनुमानित विश्वव्यापी कृषि उत्पादन के हो?,११ अर्ब टन
what is the approximate Global agricultural production,32 million tonnes of natural fibres,अनुमानित विश्वव्यापी कृषि उत्पादन के हो,३२ मिलियन टन प्राकृतिक फाइबर
what is the approximate amount of Global agricultural production of wood.,4 billion,काठको विश्वव्यापी कृषि उत्पादनको अनुमानित मात्रा कति हो?,४ अर्ब
name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance",कुनै पनि वातावरणीय समस्याहरूको नाम दिनुहोस् ।,"जलीय पदार्थको कमी, वन फँडानी, एन्टिबायोटिक प्रतिरोध"
what are some of the high risk of work-related hazards that can affect farmers.,"injuries, lung disease, noise-induced hearing loss, skin diseases, as well as certain cancers related to chemical use and prolonged sun exposure",किसानहरूलाई असर गर्न सक्ने काम - सम्बन्धित खतराहरूको उच्च जोखिमहरू के के हुन्?,"चोटपटक, फोक्सोको रोग, हल्ला - प्रेरित श्रवण हानि, छालाका रोगहरू, साथै रासायनिक प्रयोग र लामो समयसम्म सूर्यको जोखिमसँग सम्बन्धित केही क्यान्सरहरू"
what is common cause of fatal agricultural injuries in developed countries., tractor rollovers,विकसित देशहरूमा घातक कृषि चोटपटकको सामान्य कारण के हो?,ट्रयाक्टर रोलओभरहरू
what are the common causes of fatal injuries among young farm workers.,"drowning, machinery and motor accidents, including with all-terrain vehicles.",युवा कृषि कामदारहरूमा घातक चोटपटकका सामान्य कारणहरू के के हुन्?,"सबै इलाकाका सवारी साधनहरू सहित डुब्न, मेसिनरी र मोटर दुर्घटनाहरू ।"
which population is vulnerable  in agriculture.,Ages 0�6,कुन जनसंख्या कृषिमा कमजोर छ ।,उमेर ०:६
which  sector is considered as one of the most hazardous of all economic sectors by International Labour Organization.,agriculture ,अन्तर्राष्ट्रिय श्रम संगठन (International Labour Organization) द्वारा कुन  क्षेत्रलाई सबै आर्थिक क्षेत्रहरू मध्ये सबैभन्दा खतरनाक मानिन्छ ।,कृषि
what is the estimates of the annual work-related death toll among agricultural employees.,"at least 170,000",कृषि कर्मचारीहरू बीच वार्षिक कार्य - सम्बन्धित मृत्यु संख्याको अनुमान के हो?,"कम्तिमा 170,000"
what is shifting cultivation.,"is a system in which forests are burnt, releasing nutrients to support cultivation of annual and then perennial crops for a period of several years",खेती के हो ।,"एक प्रणाली हो जसमा जङ्गलहरू जलाइन्छ, धेरै वर्षको लागि वार्षिक र त्यसपछि बारहमासी बालीको खेतीलाई समर्थन गर्न पोषक तत्वहरू जारी गर्दछ"
which kind of cultivation is sometimes referred to as slash and burn.,Shifting cultivation,कुन प्रकारको खेतीलाई कहिलेकाँही स्लैश र बर्न भनिन्छ ।,खेती स्थानान्तरण
what is monoculture.,one cultivar is planted on a large acreage,मोनोकल्चर भनेको के हो ।,एउटा खेती ठूलो क्षेत्रफलमा रोपिएको छ
what is multiple cropping.,several crops are grown sequentially in one year,मल्टिपल क्रपिंग भनेको के हो ।,एक वर्षमा क्रमिक रूपमा धेरै बालीहरू उब्जाइन्छन्
define what is intercropping., several crops are grown at the same time,अन्तरकृया भनेको के हो भनेर परिभाषित गर्नुहोस् ।,धेरै बालीहरू एकै समयमा उब्जाइन्छन्
name the important categories of food crops.,"cereals, legumes, forage, fruits and vegetables",खाद्य बालीहरूको महत्त्वपूर्ण कोटीहरूको नाम दिनुहोस् ।,"अन्न, फलफूल, चारा, फलफूल र तरकारीहरू"
name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax",प्राकृतिक फाइबरको प्रमुख कोटीहरूको नाम दिनुहोस् ।,"कपास, ऊन, सन, रेशम र सन"
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport.",पशुपालन भनेको के हो?,"मासु, दूध, अण्डा, वा ऊनको लागि र काम र यातायातको लागि जनावरहरूको प्रजनन र हुर्काउनु हो ।"
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs",खेत खेती गर्न प्रयोग गरिएका काम गर्ने जनावरहरूको नाम दिनुहोस् ।,"घोडा, खच्चर, गोरु, पानी भैंस, ऊँट, लामा, अल्पाका, गधा र कुकुरहरू"
what is Aquaculture,production of fish for human consumption,एक्वाकल्चर (Aquaculture) भनेको के हो?,मानव उपभोगको लागि माछाको उत्पादन
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control.",जुताई भनेको के हो?,"रोपणको लागि, पोषक तत्व समावेशको लागि, वा कीट नियन्त्रणको लागि तयारी गर्न हल वा ह्यारो जस्ता उपकरणहरूले माटो भत्काउने अभ्यास हो ।"
How can Tillage improve productivity.,"warming the soil, incorporating fertilizer and controlling weeds, but also renders soil more prone to erosion, triggers the decomposition of organic matter releasing CO2, and reduces the abundance and diversity of soil organisms.",खेतीले कसरी उत्पादकत्वमा सुधार ल्याउन सक्छ ।,"माटोलाई न्यानो पार्ने, मलखाद समावेश गर्ने र खरबुजा नियन्त्रण गर्ने, तर माटोलाई क्षरणको अधिक सम्भावना प्रदान गर्ने, CO2 जारी गर्ने जैविक पदार्थको अपघटनलाई ट्रिगर गर्ने, र माटोका जीवहरूको प्रशस्तता र विविधतालाई कम गर्दछ ।"
Name the pest control management practices.," Chemical (pesticides), biological (biocontrol), mechanical (tillage), and cultural practices are used",कीट नियन्त्रण व्यवस्थापन अभ्यासहरूको नाम दिनुहोस् ।,"रासायनिक (कीटनाशक), जैविक (बायोकन्ट्रोल), मेकानिकल (जुताई), र सांस्कृतिक अभ्यासहरू प्रयोग गरिन्छ"
Name the cultural pest control practicies.,"crop rotation, culling, cover crops, intercropping, composting, avoidance, and resistance",सांस्कृतिक कीट नियन्त्रण अभ्यासहरूको नाम दिनुहोस् ।,"बाली रोटेशन, कुलिङ, कभर बाली, अन्तरबाली, कम्पोस्टिंग, परहेज, र प्रतिरोध"
Name cultural  techniques for managing crop nutrients use.,crop rotation or a fallow period,बाली पोषक तत्वहरूको प्रयोग व्यवस्थापनको लागि सांस्कृतिक  प्रविधिहरूको नाम दिनुहोस् ।,बाली रोटेशन वा फलो अवधि
what farming technique is used to supplement rainfall in areas of low rainfall.,irrigation ,कम वर्षाको क्षेत्रमा वर्षालाई पूरक बनाउन के खेती प्रविधिको प्रयोग गरिन्छ ।,सिँचाइ
which technical allows for water status monitoring and automate water usage.,precision agriculture,जसले प्राविधिक रूपमा पानीको स्थिति अनुगमन र पानीको प्रयोगलाई स्वचालित गर्न अनुमति दिन्छ ।,सटीक कृषि
what is Payment for ecosystem services., is a method of providing additional incentives to encourage farmers to conserve some aspects of the environment,पारिस्थितिक प्रणाली सेवाहरूको लागि भुक्तानी के हो?,किसानहरूलाई वातावरणका केही पक्षहरू संरक्षण गर्न प्रोत्साहित गर्न थप प्रोत्साहन प्रदान गर्ने एक विधि हो
what is agricultural automation?,refers to autonomous navigation by robots without human intervention. ,कृषि स्वचालन भनेको के हो?,मानव हस्तक्षेप बिना रोबोट द्वारा स्वायत्त नेभिगेसनलाई जनाउँछ ।
which type of family do green manure crops belongs to.,leguminous,हरियो मल बाली कुन प्रकारको परिवारसँग सम्बन्धित छ ।,लेग्युमिनस
which nutrient is leguminous crops high in?,nitrogen ,कुन पोषक तत्वमा लेगुमिनस बाली बढी हुन्छ?,नाइट्रोजन 
what happens during biological nitrogen fixation?,convert biologically unavailable atmospheric nitrogen gas (N2) to biologically available ammonium (NH+4),जैविक नाइट्रोजन निर्धारणको समयमा के हुन्छ?,जैविक रूपमा अनुपलब्ध वायुमण्डलीय नाइट्रोजन ग्याँस (N2) लाई जैविक रूपमा उपलब्ध अमोनियम (NH+4) मा रूपान्तरण गर्नुहोस्
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time,कुन अन्य तरिकाले बालीलाई कभर गर्न सक्छ प्रजनन क्षमता बढाउन,कभर बालीले समयसँगै कभर बाली बायोमासको इनपुट मार्फत माटोको जैविक पदार्थको स्तर बढाउँदै माटोको गुणस्तर सुधार गर्न सक्छ
why do we manage soil quality?,to produce optimum circumstances for crops to flourish,हामी माटोको गुणस्तर किन व्यवस्थापन गर्छौं?,बाली फस्टाउनको लागि इष्टतम परिस्थितिहरू उत्पादन गर्न
what are principal factors of soil quality.,"soil salination, pH, microorganism balance and the prevention of soil contamination",माटोको गुणस्तरका मुख्य कारकहरू के हुन्?,"माटोको लवण, pH, सूक्ष्मजीव सन्तुलन र माटोको दूषितताको रोकथाम"
how are cover crops used in agroecosystem where water for crop production is in short supply, cover crops can be used as a mulch to conserve water by shading and cooling the soil surface,कृषि पारिस्थितिक प्रणालीमा कभर बालीहरू कसरी प्रयोग गरिन्छ जहाँ बाली उत्पादनको लागि पानीको आपूर्ति कम हुन्छ,कभर बालीहरू माटोको सतहलाई छायांकन र चिसो बनाएर पानीको संरक्षण गर्न मल्चको रूपमा प्रयोग गर्न सकिन्छ
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day,अर्को कुन तरिकाले गाईले बढी दूध उत्पादन गर्न सक्छ?,गाईलाई नियमित दुध चुसाएर दिनमा दुई वा तीन पटक
how many teats or nipples does a cow has?,"four nipples, or teats",गाईसँग कतिवटा टिट्स वा निप्पलहरू छन्?,"चार निप्पल, वा टेट्स"
how do cover crops suppress weeds during growth.,"During growth these cover crops compete vigorously with weeds for available space, light, and nutrients",कभर बालीले कसरी विकासको समयमा खरपतवारलाई दबाउँछ ।,"विकासको क्रममा यी कभर बालीहरू उपलब्ध ठाउँ, प्रकाश र पोषक तत्वहरूको लागि खरपतवारसँग कडा प्रतिस्पर्धा गर्छन्"
how do cover crops suppress weeds after death,they smother the next flush of weeds by forming a mulch layer on the soil surface,कभर बालीले कसरी मृत्यु पछि खरपतवारलाई दबाउँछ,तिनीहरूले माटोको सतहमा मल्च लेयर बनाएर माटोको अर्को फ्लसलाई धुन्छन्
name examples of cover crops.,"Secale cereale (rye), Vicia villosa (hairy vetch), Trifolium pratense (red clover), Sorghum bicolor (sorghum-sudangrass), and species in the family Brassicaceae, particularly mustards",कभर बालीका उदाहरणहरू नाम दिनुहोस् ।,"सेकेल अनाज (राई), भिसिया भिलोसा (कपाल भएको पशु चिकित्सक), ट्राइफोलियम प्र्याटेन्स (रातो क्लोभर), ज्वार बाइकोलर (ज्वार - सुदांग्रास), र ब्रासिकेसी परिवारमा प्रजातिहरू, विशेष गरी सरसफाइ"
"apart from suppressing weeds, what are other properties of allelopathic cover crops."," they can also break disease cycles and reduce populations of bacterial and fungal diseases, and parasitic nematodes","खरपतवारलाई दबाउनु बाहेक, एलेलोपैथिक कभर बालीका अन्य गुणहरू के के हुन् ।","तिनीहरूले रोग चक्र पनि तोड्न सक्छन् र ब्याक्टेरिया र फंगल रोगहरू, र परजीवी नेमाटोडहरूको जनसंख्या कम गर्न सक्छन्"
what does S. exempta larvae feeds on?,Poaceae,s. exempta लार्भाले के खुवाउँछ?,पोएसी (Poaceae)
what is Poaceae.,Poaceae is a family of flowering grasses which includes cereal grasses and the grasses of grasslands and pastures,poaceae के हो?,Poaceae फूल फूल्ने घाँसको परिवार हो जसमा अनाजको घाँस र घाँस मैदान र चारागाहका घाँसहरू समावेश छन्
what is the other name of Couch grass.,Bermuda grass,काउच घाँसको अर्को नाम के हो?,बर्मुडा घाँस
when does the differences in appearance between the solitaria and gregaria phases become apparent.,in the third instar and remain until the last instar,सोलिटेरिया र ग्रीगेरिया चरणहरू बीचको भिन्नता कहिले स्पष्ट हुन्छ?,तेस्रो इन्स्टामा र अन्तिम इन्स्टा सम्म रहन्छ
in which phase is the armyworms species dangerous to crops., gregaria,कुन चरणमा आर्मीवर्म प्रजातिहरू बालीनालीको लागि खतरनाक हुन्छ ।,ग्रीगेरिया
why is gregaria phase dangerous to crops.,because the black-bodied caterpillars are more active and densely concentrated than solitaria caterpillars,किन ग्रीगेरिया चरण बालीको लागि खतरनाक छ ।,किनभने कालो शरीर भएका क्याटरपिलरहरू सोलिटारिया क्याटरपिलरहरू भन्दा बढी सक्रिय र सघन रूपमा केन्द्रित हुन्छन्
when are the African armyworms noticed by farmers., until the caterpillars are ten days old and start exhibiting the gregaria phase.,जब अफ्रिकी सेनाका कीराहरू किसानहरूले ध्यान दिन्छन् ।,क्याटरपिलरहरू दश दिन पुरानो नभएसम्म र ग्रीगेरिया चरणको प्रदर्शन सुरु नभएसम्म ।
when do the intensity of outbreak increases.,"during the start of the wet season after a drought, which allows moths to lay eggs in areas of dense vegetation which supports the larval stage growth",जब प्रकोपको तीव्रता बढ्छ ।,"खडेरी पछि भिजेको मौसमको सुरुमा, जसले कीराहरूलाई बाक्लो वनस्पति क्षेत्रमा अण्डा दिन अनुमति दिन्छ जसले लार्भा चरणको बृद्धिलाई समर्थन गर्दछ"
what are some of the challenges faced by S. exempta.,"predators, parasites, parasitoids, diseases, and viruses",s. exempta ले सामना गरेका केही चुनौतीहरू के के हुन्?,"शिकारीहरू, परजीवीहरू, परजीवीहरू, रोगहरू, र भाइरसहरू"
During which phases are the S. exempta species susceptible to a cytoplasmic virus.,During the pupal and pre-pupal stages,कुन चरणहरूमा S. छूट प्राप्त प्रजातिहरू साइटोप्लाज्मिक भाइरसको लागि अतिसंवेदनशील हुन्छन् ।,प्यूपा र पूर्व - प्यूपा चरणहरूमा
how does S. exempta reduce the risk of SpexNPV,via density-dependent prophylaxis,s. exempta ले कसरी SpexNPV को जोखिम कम गर्छ,घनत्वमा निर्भर प्रोफिलैक्सिस मार्फत
what does the female S.exempta release to attract males.,pheromones,पुरुषहरूलाई आकर्षित गर्न महिला S.exempta ले के जारी गर्छ ।,फेरोमोन
why do farmers have low cancer and death rates.,This is due primarily to lower smoking rates among farmers and a very active lifestyle,किसानहरूको क्यान्सर र मृत्युदर किन कम छ?,यो मुख्यतया किसानहरूमा धुम्रपानको दर कम हुनु र धेरै सक्रिय जीवनशैलीको कारण हो
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer ",कृषि श्रमिकहरूमा कुन प्रकारको क्यान्सर उच्च छ ।,"ल्युकेमिया, गैर?होजकिन लिम्फोमा र छालाको क्यान्सर"
why there is an increase of skin cancer among farmers, an increased exposure of UV rays as well as environmental elements,किसानहरूमा छालाको क्यान्सर किन बढिरहेको छ,uV किरणहरूको साथसाथै वातावरणीय तत्वहरूको बढ्दो जोखिम
how do you define organic?,"a labeling term that indicates that the food or other agricultural product has been produced through approved methods that integrate cultural, biological and mechanical practices that foster cycling of resources, promote biological balance and conserve biodiversity",तपाईं जैविकलाई कसरी परिभाषित गर्नुहुन्छ?,"एक लेबलिंग शब्द जसले खाद्य वा अन्य कृषि उत्पादन स्वीकृत विधिहरू मार्फत उत्पादन गरिएको हो जसले सांस्कृतिक, जैविक र मेकानिकल अभ्यासहरूलाई एकीकृत गर्दछ जसले संसाधनहरूको साइकललाई बढावा दिन्छ, जैविक सन्तुलनलाई बढावा दिन्छ र जैविक विविधता संरक्षण गर्दछ"
how do we prevent foodborne illness?,"cook foods to proper temperatures, use separate cutting boards for uncooked meat and ready?to?eat foods, store leftover food in shallow containers and refrigerate within two hours.",हामी कसरी खाद्यजन्य रोगबाट बच्ने?,"खानालाई उचित तापक्रममा पकाउनुहोस्, नपकाएको मासुको लागि छुट्टै काट्ने बोर्डहरू प्रयोग गर्नुहोस् र खाना खानको लागि तयार हुनुहोस्, बचेका खानालाई उथले कन्टेनरमा भण्डारण गर्नुहोस् र दुई घण्टा भित्र फ्रिजमा राख्नुहोस् ।"
what percentage o electricity does fossil fuel accounts for?, 81% of electricity,जीवाश्म इन्धनले कति प्रतिशत बिजुली खर्च गर्छ?,८१ % बिजुली
how can mulching be used to prevent or control couch grass,"use a thick layer of organic mulch, such as straw or leaves, to smother the grass. This method works by blocking sunlight and preventing the grass from growing. It is important to use a thick enough layer of mulch to be effective.",सोफा घाँस रोक्न वा नियन्त्रण गर्न मल्चिंग कसरी प्रयोग गर्न सकिन्छ,"घाँसलाई सुम्सुम्याउन जैविक मलचको बाक्लो तह, जस्तै पराल वा पातहरू प्रयोग गर्नुहोस् । यो विधिले सूर्यको प्रकाशलाई अवरुद्ध गरेर र घाँसलाई बढ्नबाट रोक्दै काम गर्दछ । प्रभावकारी हुनको लागि मल्चको बाक्लो पर्याप्त तह प्रयोग गर्नु महत्त्वपूर्ण छ ।"
name one Glyphosate-based herbicides that can be used to control Couch grass in cassava garden.,Roundup,कसावा बगैंचामा काउच घाँस नियन्त्रण गर्न प्रयोग गर्न सकिने एउटा ग्लाइफोसेट - आधारित जडिबुटीहरूको नाम बताउनुहोस् ।,"राउन्डअपCity name (optional, probably does not need a translation)"
how can tillage be used to control Couch grass., involves digging up the soil to a depth of at least 6 inches to disrupt the root system of the grass,काउच घाँस नियन्त्रण गर्न जुताई कसरी प्रयोग गर्न सकिन्छ ।,घाँसको जरा प्रणालीलाई बिगार्नको लागि माटोलाई कम्तिमा ६ इन्च गहिराइमा खनेर
how effective is hand-pulling as way of controlling Couch grass.,it can be effective in small gardens or in areas where couch grass is not too widespread,काउच घाँस नियन्त्रण गर्ने तरिकाको रूपमा हात तान्नु कत्तिको प्रभावकारी छ ।,यो सानो बगैंचामा वा सोफा घाँस धेरै व्यापक नभएको क्षेत्रमा प्रभावकारी हुन सक्छ
how does reliable rainfall improve crop yield.,"Reliable rainfall can provide the necessary moisture for crops to grow and thrive, leading to higher yields and better quality crops. This is especially important in areas where irrigation is not available or is limited",भरपर्दो वर्षाले कसरी बाली उत्पादनमा सुधार ल्याउँछ ।,"भरपर्दो वर्षाले बाली बढ्न र फस्टाउनको लागि आवश्यक चिस्यान प्रदान गर्न सक्छ, जसले उच्च उत्पादन र राम्रो गुणस्तरको बाली निम्त्याउँछ । यो विशेष गरी ती क्षेत्रहरूमा महत्त्वपूर्ण छ जहाँ सिंचाई उपलब्ध छैन वा सीमित छ"
how can reliable rainfall improve soil health?,Rainfall can help to improve soil health by providing the moisture needed for microbial activity and nutrient cycling.,भरपर्दो वर्षाले माटोको स्वास्थ्य कसरी सुधार गर्न सक्छ?,वर्षाले माइक्रोबियल गतिविधि र पोषक तत्व साइकल चलाउनको लागि आवश्यक आर्द्रता प्रदान गरेर माटोको स्वास्थ्य सुधार गर्न मद्दत गर्न सक्छ ।
how is biodiversity enhanced through reliable rainfall.," Rainfall can support a variety of plant and animal species, leading to increased biodiversity and a healthier ecosystem.
",भरपर्दो वर्षाको माध्यमबाट जैविक विविधता कसरी बढाइन्छ ।,"वर्षाले विभिन्न बोटबिरुवा र जनावरका प्रजातिहरूलाई सहयोग गर्न सक्छ, जसले जैविक विविधता र स्वस्थ पारिस्थितिकी प्रणाली बढाउँछ ।"
how can rainfall increase water quality.," improve water quality by replenishing rivers, streams, and groundwater supplies",वर्षाले पानीको गुणस्तर कसरी बढाउन सक्छ ।,"नदी, खोला र भूमिगत पानीको आपूर्ति भरेर पानीको गुणस्तर सुधार गर्ने"
what is a contaminant.,"A plant that is considered undesirable in a seed production field, including off types,
other varieties, other crops, weeds and plants with disease symptoms",दूषित पदार्थ के हो ।,"एक बिरुवा जुन बीउ उत्पादन क्षेत्रमा अवांछनीय मानिन्छ, अफ प्रकारहरू सहित,
अन्य प्रजातिहरू, अन्य बालीहरू, खरबुजाहरू र रोगका लक्षणहरू भएका बोटबिरुवाहरू"
what is crop age?,"The time from planting to the date of assessment, inspection or any other key activity.",बालीको उमेर के हो?,"रोपणदेखि मूल्याङ्कन, निरीक्षण वा अन्य कुनै प्रमुख गतिविधि गर्ने समय ।"
what is Crop rotation.,"The practice of growing a series of different types of crops in the same area in sequenced
seasons or years",क्रप रोटेसन भनेको के हो ।,"अनुक्रममा एउटै क्षेत्रमा विभिन्न प्रकारका बालीहरू उब्जाउने अभ्यास
ऋतुहरू वा वर्षहरू"
how do define Field count.,A count of contaminating factors as specified in the field production standards for seed,क्षेत्र गणनालाई कसरी परिभाषित गर्नुहुन्छ ।,बीउको लागि क्षेत्र उत्पादन मापदण्डमा निर्दिष्ट गरिएको दूषित कारकहरूको गणना
what is Field inspection.,"An inspection of a seed field for carrying out checks to ascertain correct crop rotation,
isolation, rouging, weeding or compliance to seed quality standards",फिल्ड निरीक्षण भनेको के हो?,"सही फसल परिक्रमण पत्ता लगाउन जाँचहरू गर्न बीउ क्षेत्रको निरीक्षण,
अलगाव, रूजिंग, खरबुजा वा बीउ गुणस्तर मापदण्डको पालना"
what is Generation.,"he number of times or seasons a seed crop has been exposed to the natural crop
growing environment",जेनेरेसन भनेको के हो ।,"बीउको बाली प्राकृतिक बालीको सम्पर्कमा आएको समय वा मौसमको संख्या
बढ्दो वातावरण"
what is the role of an inspector.,Person authorized by the regulatory body to perform the field inspection,निरीक्षकको भूमिका के हो?,क्षेत्र निरीक्षण गर्न नियामक निकायद्वारा अधिकृत व्यक्ति
Name regions in which Pastoralism is practised.,"arid and semi-arid regions of Sahara, Central Asia and some parts of India.",ती क्षेत्रहरूको नाम दिनुहोस् जहाँ पास्टोरलिज्मको अभ्यास गरिन्छ ।,"सहारा, मध्य एशिया र भारतका केही भागहरूको सुक्खा र अर्ध - सुक्खा क्षेत्रहरू ।"
how is  shifting cultivation done?," a small area of forest is cleared by cutting and burning the trees. The cleared land is used for growing crops for a few years until the soil becomes too infertile, and the area is abandoned. Another patch of land is selected and the process is repeated",सिफ्टिङ खेती कसरी गरिन्छ?,रूखहरू काटेर र जलाएर जंगलको सानो क्षेत्र सफा गरिन्छ । माटो धेरै बाँझो नभएसम्म र क्षेत्र परित्याग नभएसम्म सफा गरिएको जमिन केही वर्षसम्म बाली खेतीको लागि प्रयोग गरिन्छ । जग्गाको अर्को प्याच चयन गरिएको छ र प्रक्रिया दोहोर्याइएको छ
where area is  shifting cultivation done.,"This type of farming is practiced mainly in areas with abundant rainfall where the forest regenerates quickly. This practice is used in Northeast India, Southeast Asia, and the Amazon Basin.",जहाँ क्षेत्र सिफ्टिङ खेती भइरहेको छ ।,"यस प्रकारको खेती मुख्यतया प्रशस्त वर्षा भएका क्षेत्रहरूमा गरिन्छ जहाँ जङ्गल चाँडै पुन: उत्पन्न हुन्छ । यो अभ्यास उत्तरपूर्वी भारत, दक्षिणपूर्वी एशिया, र अमेजन बेसिनमा प्रयोग गरिन्छ ।"
Name areas where substance farming is practicied.,Monsoon Asia and South-East Asia,पदार्थ खेती अभ्यास गरिएको क्षेत्रहरूको नाम दिनुहोस् ।,मनसुन एशिया र दक्षिण - पूर्व एशिया
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)",गहन खेती भनेको के हो ।,"कम गिरावट अनुपात र इनपुट (पानी, मलखाद, कीटनाशक र स्वचालन) को उच्च प्रयोगको साथ उत्पादकता बढाउन खेती हो"
where is Intensive farming practiced.,mainly in developed countries,जहाँ गहन खेती गरिन्छ ।,मुख्यतया विकसित देशहरूमा
define Livestock management practices?," practices involve a range of activities and strategies that are designed to keep animals healthy, productive, and profitable",पशुधन व्यवस्थापन अभ्यासहरू परिभाषित गर्नुहुन्छ?,"अभ्यासहरूमा विभिन्न गतिविधिहरू र रणनीतिहरू समावेश हुन्छन् जुन जनावरहरूलाई स्वस्थ, उत्पादक र लाभदायक राख्नको लागि डिजाइन गरिएको हो"
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.,किसानहरूले फोहोर व्यवस्थापन रणनीतिहरू किन लागू गर्नुपर्छ ।,पशुधनले पर्याप्त मात्रामा फोहोर उत्पादन गर्दछ जुन वातावरणको लागि हानिकारक हुन सक्छ यदि राम्रोसँग व्यवस्थापन गरिएको छैन भने ।
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive,पशुधनले किन उपयुक्त पशु चिकित्सा हेरचाह प्राप्त गर्नुपर्छ ।,तिनीहरू स्वस्थ र उत्पादक रहन्छन् भन्ने कुरा सुनिश्चित गर्न
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations,पशुधनलाई दिनुपर्ने कुनै पनि  पशु चिकित्सा हेरचाहको नाम,नियमित जाँच र खोपहरू
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles.",किसानहरूले पशुधनको प्रजनन र प्रजनन कसरी व्यवस्थापन गर्न सक्छन् भन्ने तरिकाहरू बताउनुहोस् ।,"कृत्रिम गर्भाधान, प्राकृतिक प्रजनन विधि, र प्रजनन चक्रको सावधानीपूर्वक व्यवस्थापन ।"
why should farmers implement disease prevention strategies., to prevent the spread of disease among their livestock,किसानहरूले रोग रोकथाम रणनीतिहरू किन लागू गर्नुपर्छ ।,तिनीहरूको पशुधनमा रोगको प्रसार रोक्नको लागि
what are some of the disease prevention strategies that farmers can use.,"vaccination programs, quarantine protocols, and biosecurity measures",किसानहरूले प्रयोग गर्न सक्ने केही रोग रोकथाम रणनीतिहरू के हुन्?,"खोप कार्यक्रमहरू, क्वारेन्टाइन प्रोटोकलहरू, र जैविक सुरक्षा उपायहरू"
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around,पशुधनलाई उनीहरूको सुरक्षाको लागि उपयुक्त आवास चाहिन्छ,चरम मौसमको अवस्थाबाट र उनीहरूलाई घुम्नका लागि पर्याप्त ठाउँ प्रदान गर्दछ
why should the housing be kept well ventilated and clean.,to prevent the spread of disease.,आवासलाई राम्रोसँग भेन्टिलेटेड र सफा किन राख्नु पर्छ ।,रोगको फैलावट रोक्नको लागि ।
why do livestock require a steady supply of food and water.,to maintain their health and productivity.,किन पशुधनलाई खाना र पानीको स्थिर आपूर्ति आवश्यक छ ।,तिनीहरूको स्वास्थ्य र उत्पादकत्व कायम राख्न ।
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs.",पशुधन व्यवस्थापन भनेको के हो ।,"मासु, दूध, ऊन, र अण्डा जस्ता विभिन्न उद्देश्यका लागि हुर्काइएका विभिन्न जनावरहरूको हेरचाह गर्नु समावेश छ ।"
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations",कुनै पनि पशुधन व्यवस्थापन अभ्यासहरूको नाम दिनुहोस् ।,"नियमित पशुचिकित्सा जाँच र खोपहरू मार्फत जनावरहरूलाई पर्याप्त खाना, पानी र आश्रय उपलब्ध गराउने साथै उनीहरूको स्वास्थ्य कायम राख्ने कुरा सुनिश्चित गर्ने"
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm",किन प्रभावकारी पशुधन व्यवस्थापन अभ्यासहरू आवश्यक छन् ।,"जनावरहरूलाई स्वस्थ र उत्पादक राख्नको लागि, जसले फलस्वरूप फार्मको नाफा सुनिश्चित गर्न मद्दत गर्दछ"
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis",कुनै पनि पशुधन रोगको नाम दिनुहोस् ।,"खुट्टा र मुखको रोग, ब्रुसेलोसिस, र क्षयरोग"
